"Iter.","Eval.","Best","Time m:s"
0,6,4.35217709969016209e+00,1.6744994595646858
1,15,3.77520195527207392e+00,3.148388098925352
2,24,2.21559859519415836e+00,4.591636883094907
3,31,1.90529158359954964e+00,5.852335220202804
20,122,4.66230373769203232e-01,23.69987503066659
40,231,4.25660309527413683e-01,45.518007311969995
60,356,4.25660309527413683e-01,67.32242711819708
80,502,4.25660309527413683e-01,91.2267880961299
100,630,4.19875294705662039e-01,113.34587924554944
120,757,4.19579847711215093e-01,135.10504377633333
140,874,4.18567828079655424e-01,157.3140151053667
160,981,4.18045393693510681e-01,178.1551684513688
180,1106,4.17951195370200257e-01,198.8165822289884
200,1222,4.17760190412738153e-01,218.21417811512947
220,1340,4.17555451253411813e-01,236.74999255500734
240,1467,4.17369653807509733e-01,256.25996604934335
260,1587,4.17220700527889343e-01,274.8603268954903
280,1723,4.16654030006668119e-01,295.9286572467536
300,1844,4.15189903296252882e-01,316.15022711083293
320,1995,4.14164168668661015e-01,338.2063889056444
340,2157,4.06916891474270792e-01,360.88449459150434
360,2292,2.87966211288735729e-01,381.41364727541804
380,2451,1.61864961459850742e-01,403.4556688182056
400,2638,1.56757482647530949e-01,427.98101460561156
420,2808,1.51747339600546843e-01,450.7736658770591
440,2993,1.45450373699939572e-01,475.66825150698423
460,3148,1.14653141760101274e-01,497.74403566122055
480,3346,1.10792025933442201e-01,524.0415940787643
500,3545,1.08621772781680059e-01,551.0326291378587
520,3719,1.07265460880548835e-01,574.7995496485382
540,3887,1.05475938536494507e-01,597.8807041086257
560,4062,9.79562265403111226e-02,617.9427737873048
580,4255,6.70033455077351514e-02,637.0738289915025
600,4455,6.26065351950601118e-02,657.6455198768526
620,4655,5.97435476195482332e-02,677.6155876964331
640,4844,5.80810792823862540e-02,696.8474302161485
660,5042,5.77006884429109440e-02,716.5426266472787
680,5242,5.76274866240563122e-02,736.4967998024076
700,5442,5.74398306764622446e-02,756.253776544705
720,5642,5.70992575708182543e-02,774.0947270225734
740,5842,5.53121078091773286e-02,793.2367350738496
760,6041,5.17493131842972492e-02,812.7608123421669
780,6241,4.94439367788842773e-02,832.123901983723
800,6441,4.87562729031438130e-02,852.302375677973
820,6641,4.80992315523633834e-02,873.8483697921038
840,6841,4.79495184406518310e-02,895.3086152859032
860,7041,4.79300504097074365e-02,917.2369429338723
880,7241,4.79264232264770690e-02,939.894280185923
900,7441,4.79263293592149253e-02,964.7883323580027
920,7641,4.79263275700102936e-02,989.963893128559
940,7841,4.79263274912336695e-02,1016.0641299206764
960,8041,4.79263274873747425e-02,1041.1811993476003
980,8241,4.79263274871359057e-02,1068.747369427234
1000,8441,4.79263274871288766e-02,1098.4278250448406
1020,8641,4.79263274871276207e-02,1123.3591500222683
1040,8841,4.79263274871275513e-02,1149.9248476289213
1060,9041,4.79263274871275374e-02,1173.2215768452734
1080,9241,4.79263274871275374e-02,1197.5874397531152
1100,9441,4.79263274871275374e-02,1219.6024100985378
1120,9641,4.79263274871275374e-02,1241.2526261936873
1134,9771,4.79263274871275374e-02,1254.7524919137359
