"Iter.","Eval.","Best","Time m:s"
0,10,6.09669760103228331e+00,1.626865616068244
1,20,5.64322988639679579e+00,2.8526565209031105
2,30,4.61978392521986692e+00,4.025077804923058
3,40,4.11344026191226586e+00,5.368158642202616
20,163,2.05462429202199903e+00,25.09114401601255
40,297,3.42974998921542484e-01,48.59467548318207
60,408,3.42974998921542484e-01,68.50101343169808
80,524,3.32256246845928305e-01,89.51907125487924
100,643,3.29092761971955916e-01,111.41241829097271
120,778,3.24651796490964262e-01,133.33248420991004
140,931,3.06494271974348753e-01,156.0582489799708
160,1064,2.73630260518862134e-01,176.7764811143279
180,1187,2.63173659465998244e-01,197.01517016254365
200,1334,2.45538893057661800e-01,219.57856992073357
220,1501,2.14572889966040625e-01,244.8148110844195
240,1686,1.43510401178025160e-01,269.0768168717623
260,1858,1.37295496940331607e-01,295.36918639205396
280,2055,1.35922211453207015e-01,320.11500466801226
300,2232,1.30813269056916287e-01,345.11466569826007
320,2423,1.30031730024529002e-01,369.5446047671139
340,2619,1.29211533572732906e-01,395.9598961882293
360,2782,1.28981998131847631e-01,418.6892837565392
380,2926,1.28957800584185156e-01,439.18130789138377
400,3069,1.28950264827892902e-01,457.65918763540685
420,3209,1.28949164825473445e-01,478.0110286921263
440,3344,1.28948523964204864e-01,497.8561789728701
460,3502,1.28948424396550548e-01,519.3187931105494
480,3662,1.28948059416904681e-01,539.8052937854081
500,3838,1.28943038423765727e-01,561.6667473614216
520,4029,1.28857381823089812e-01,584.5151782874018
540,4194,1.28030495911328701e-01,606.2823524679989
560,4350,1.27901657490366194e-01,627.7984355781227
580,4506,1.27840887095709288e-01,648.5036553926766
600,4646,1.27823152289140929e-01,667.8953690622002
620,4807,1.27786604983656432e-01,688.7440311219543
640,4984,1.27754560350471641e-01,709.4704092182219
660,5173,1.27718349699275424e-01,731.3974600154907
680,5362,1.25059117601293984e-01,754.6198928840458
700,5540,1.05113880008587623e-01,778.6957387235016
720,5731,9.46572089891883628e-02,800.6486089210957
740,5931,7.23334887785354597e-02,826.146532965824
760,6131,5.76714908201025958e-02,850.1449125539511
780,6329,5.04412293130020867e-02,874.5996986739337
800,6529,4.90053779766682629e-02,899.5878925733268
820,6729,4.85829169601221522e-02,925.3613393884152
840,6929,4.85161688069766645e-02,951.9759656973183
860,7129,4.85139300050087818e-02,976.9894856847823
880,7329,4.85125535828958565e-02,1000.6236201524734
900,7529,4.84998743441511504e-02,1022.5615464709699
920,7729,4.84388943638292477e-02,1044.947848515585
940,7929,4.70354298681801425e-02,1069.7959863357246
960,8129,4.22261298374699418e-02,1093.3488548845053
980,8325,3.23532006703260711e-02,1118.1642707437277
1000,8520,2.53380222188209873e-02,1144.0541498698294
1020,8720,2.26531262396347140e-02,1171.6264320462942
1040,8920,2.18019510888402962e-02,1198.603704340756
1060,9120,2.15806688230157709e-02,1226.6669174432755
1080,9320,2.15364233719416397e-02,1254.5434499047697
1100,9520,2.15354463159877288e-02,1281.786620683968
1120,9720,2.15353989075883524e-02,1308.9728409349918
1140,9920,2.15353982610048018e-02,1336.37508684583
1160,10120,2.15353982441416278e-02,1364.1592017263174
1180,10320,2.15353982436977884e-02,1391.5855442136526
1200,10520,2.15353982436785399e-02,1419.8022086918354
1220,10720,2.15353982436779223e-02,1449.9162728860974
1240,10920,2.15353982436778946e-02,1480.0933451522142
1260,11120,2.15353982436778946e-02,1510.399201946333
1280,11320,2.15353982436778911e-02,1540.2829031888396
1300,11520,2.15353982436778911e-02,1569.05704113096
1320,11720,2.15353982436778911e-02,1598.1731887981296
1338,11890,2.15353982436778911e-02,1622.3121693264693
