"Iter.","Eval.","Best","Time m:s"
0,10,1.10376799244031432e+00,1.6169256791472435
1,19,1.06512381477188733e+00,3.1667793542146683
2,26,7.94276421035086999e-01,4.353428578004241
3,35,7.38103750215424848e-01,5.672354569658637
20,167,3.33219107605219167e-01,24.2336681522429
40,297,1.72612380653196285e-01,43.47073453478515
60,472,1.44701036686445905e-01,66.18722793459892
80,635,1.34264144196544311e-01,87.24558782577515
100,804,1.30415327579172319e-01,108.6797585375607
120,980,1.28983404615086256e-01,129.83902055583894
140,1129,1.28473293911941344e-01,149.4928419366479
160,1272,1.28149305007116243e-01,167.63093264959753
180,1402,1.28105203853025096e-01,186.8680862467736
200,1538,1.28098653111456018e-01,206.02645875699818
220,1666,1.28078784031974535e-01,225.52586900629103
240,1822,1.27861561813765817e-01,245.6734214965254
260,2000,1.27281185737036673e-01,268.93150426261127
280,2174,1.27171481084022847e-01,291.01160957850516
300,2352,1.26982354348305904e-01,313.29582191444933
320,2510,1.23675391583808580e-01,335.9331514798105
340,2669,1.19606805546324579e-01,357.8220539800823
360,2840,1.19282838099086075e-01,379.9815525878221
380,2988,1.19121791335222660e-01,401.1589841134846
400,3123,1.19087721970987562e-01,421.9464202579111
420,3264,1.19068466635648906e-01,443.645759627223
440,3416,1.19049176845875654e-01,464.1044667772949
460,3556,1.19008093481566213e-01,486.1867730021477
480,3740,1.18668737364826402e-01,510.32782860659063
500,3928,1.13344889281323510e-01,534.4609890654683
520,4121,1.10074310801854147e-01,560.1443882323802
540,4320,1.09603184541400708e-01,584.9209810830653
560,4488,1.09504052807870289e-01,606.2939843479544
580,4653,1.09482187805559558e-01,628.4001806396991
600,4810,1.09469230743829971e-01,649.7519859913737
620,4986,1.09371250740072395e-01,673.2852213159204
640,5186,1.03301152261322540e-01,701.7573055177927
660,5386,1.01399915162118631e-01,728.385447608307
680,5583,9.76928741827791242e-02,752.1674322392792
700,5780,8.92153887777728527e-02,775.817699721083
720,5978,6.45828745196825732e-02,799.348881971091
740,6178,5.89544079760064010e-02,824.5469972025603
760,6378,5.80674303590128782e-02,848.7953509874642
780,6578,5.75200541322791747e-02,874.8483952302486
800,6778,5.74131871574030672e-02,899.7009384073317
820,6978,5.71932448435499147e-02,924.4309433568269
840,7178,5.62337432479827898e-02,950.5206487625837
860,7378,5.42050008328601174e-02,975.2201221883297
880,7578,5.14696555296361297e-02,1000.5218648705631
900,7778,4.98090783035615992e-02,1026.8155632521957
920,7978,4.88706303501733746e-02,1055.9100383222103
940,8178,4.82450927387336609e-02,1086.8641637209803
960,8378,4.80099171342591238e-02,1116.390947362408
980,8578,4.79406080580709604e-02,1149.3996672406793
1000,8778,4.79278350668330688e-02,1178.7869426663965
1020,8978,4.79264107108931040e-02,1207.2466795779765
1040,9178,4.79263303061763027e-02,1234.791484940797
1060,9378,4.79263275576173459e-02,1262.7507455796003
1080,9578,4.79263274882684720e-02,1289.0604727063328
1100,9778,4.79263274872588352e-02,1317.8625533934683
1120,9978,4.79263274871293971e-02,1347.7353362161666
1140,10178,4.79263274871276068e-02,1375.2836038973182
1160,10378,4.79263274871275513e-02,1401.8020601086318
1180,10578,4.79263274871275374e-02,1428.4768017865717
1200,10778,4.79263274871275374e-02,1456.0496694855392
1220,10978,4.79263274871275374e-02,1481.8116524666548
1240,11178,4.79263274871275374e-02,1506.3715897444636
1260,11378,4.79263274871275374e-02,1530.3984288554639
1268,11448,4.79263274871275374e-02,1538.9131377525628
