"Iter.","Eval.","Best","Time m:s"
0,2,7.26291661228354313e-02,0.1940721459686756
1,7,7.23374088886349215e-02,0.37137632444500923
2,14,7.23374088886349215e-02,0.5478090345859528
3,20,7.23374088886349215e-02,0.6894854567945004
20,165,6.79072431185476916e-02,3.394110791385174
40,355,6.40024116195771348e-02,6.6292837373912334
60,540,6.13719432715241139e-02,9.917812008410692
80,725,6.00743831951022975e-02,13.103456992655993
100,883,5.98806791675145847e-02,16.236023165285587
120,1032,5.98002470266053646e-02,19.61886266618967
140,1184,5.95072561224591762e-02,22.899250607937574
160,1355,5.60700187198722305e-02,26.076898388564587
180,1548,5.29838853984216165e-02,29.487945392727852
200,1746,5.17946180209969131e-02,32.71919745579362
220,1942,5.15470656952421238e-02,35.95728410407901
240,2109,5.13229567691107849e-02,39.18047636002302
260,2280,5.00706491196404660e-02,42.61781523004174
280,2446,4.74508691620096693e-02,45.89354841038585
300,2599,4.67806056338607099e-02,49.10467543080449
320,2748,4.64905256902162917e-02,52.403785299509764
340,2903,4.50448430506196276e-02,55.55845869332552
360,3086,4.27373994480502728e-02,58.87596334889531
380,3279,4.25099600663475172e-02,62.16152748093009
400,3478,4.15957234804881087e-02,65.44574998319149
420,3640,3.83865480050921970e-02,68.67553376033902
440,3795,3.59759062357366405e-02,71.93237905949354
460,3970,3.33196406390574434e-02,75.19049355387688
480,4153,3.31441816149611254e-02,78.46836693957448
500,4339,3.30856892561727997e-02,81.64693128317595
520,4528,3.29184202715087360e-02,84.81734127551317
540,4724,3.28741225140257026e-02,88.02657587081194
560,4924,3.28301953436944405e-02,91.43445233255625
580,5124,3.28019889588164817e-02,95.1810605712235
600,5324,3.27889321447887294e-02,98.58471766114235
620,5524,3.27836483461031586e-02,101.75829577073455
640,5724,3.27790542841151153e-02,104.97758437693119
660,5924,3.27669996318007417e-02,108.27011205628514
680,6097,3.27593249644325887e-02,111.29408525303006
700,6267,3.27560114891774987e-02,114.26791554689407
720,6442,3.27538029908538419e-02,117.2771219573915
740,6617,3.27528703430500640e-02,120.3348314166069
760,6784,3.27520822886410573e-02,123.44353657588363
780,6954,3.27515214882934391e-02,126.61073321849108
800,7115,3.27499579438321753e-02,129.6374022178352
820,7302,3.27495474004924625e-02,132.71626114100218
840,7501,3.27481527722735533e-02,135.86369329318404
860,7701,3.27456711683608917e-02,139.0121477432549
880,7885,3.27225030638455677e-02,142.08232186734676
900,8081,3.24915873047613504e-02,145.205300796777
920,8281,3.24268636527800594e-02,148.29340191185474
940,8481,3.24048361030626064e-02,151.42710682749748
960,8681,3.23839015485991380e-02,154.56075090542436
980,8881,3.23825900443339004e-02,157.74326078221202
1000,9066,3.23820065793956405e-02,160.82049871981144
1020,9222,3.23818281712675571e-02,163.8238807953894
1040,9371,3.23818080861722479e-02,166.84961794689298
1060,9535,3.23818048459387636e-02,170.03773638606071
1080,9707,3.23818017459348226e-02,173.24936878681183
1100,9880,3.23818006514539972e-02,176.45694470778108
1120,10070,3.23818003229806098e-02,180.0389934964478
1140,10269,3.23818003229806098e-02,183.37349166721106
1160,10461,3.23817993540525956e-02,186.95933635905385
1180,10650,3.23817984385851645e-02,190.13761135190725
1200,10839,3.23817984385851645e-02,193.33396620675921
1220,11039,3.23817978579480636e-02,196.53433818742633
1240,11238,3.23817978579480636e-02,199.8129693120718
1260,11435,3.23817978579480636e-02,202.91993752494454
1280,11630,3.23817978579480636e-02,206.08556740358472
1300,11814,3.23817978579480636e-02,209.21168705448508
1320,12011,3.23817978579480636e-02,212.24481116607785
1340,12208,3.23817978579480636e-02,215.3785178102553
1360,12408,3.23817978579480636e-02,218.41150127351284
1380,12608,3.23817978579480636e-02,221.4991389848292
1400,12808,3.23817978579480636e-02,224.61538888141513
1403,12828,3.23817978579480636e-02,224.9338026419282
