"Iter.","Eval.","Best","Time m:s"
0,4,7.27408263170313263e-02,0.2650020867586136
1,13,7.27199098288963119e-02,0.441768579185009
2,21,7.27102746721756676e-02,0.615046638995409
3,31,7.26573341516518062e-02,0.784025315195322
20,157,7.13763261672179378e-02,3.655273776501417
40,302,7.13170640977638659e-02,6.941141989082098
60,439,7.13026414027819327e-02,10.399391517043114
80,573,7.12844542080522947e-02,13.803728103637695
100,718,7.12347111698630742e-02,17.198225658386946
120,870,7.11408960870393015e-02,20.583378586918116
140,1003,7.11001103283309538e-02,24.398311391472816
160,1142,7.10973758301352982e-02,28.020203303545713
180,1271,7.10932106256813301e-02,31.457248527556658
200,1401,7.10923196590897699e-02,34.86854304000735
220,1526,7.10908037318410818e-02,38.17726465314627
240,1653,7.10890250937843138e-02,41.63244852051139
260,1792,7.10838110345975993e-02,45.39615601673722
280,1952,7.09126138961845565e-02,48.74230556190014
300,2103,7.03287331980236990e-02,51.97832902148366
320,2246,7.02091673724875576e-02,55.12662274390459
340,2403,7.00503746452978970e-02,58.41066438704729
360,2541,6.85501660364690041e-02,61.788143042474985
380,2668,5.69529385682655612e-02,65.00892040506005
400,2808,5.59328705554695896e-02,68.25371200218797
420,2986,5.29144090088141741e-02,71.56574280187488
440,3179,5.27312793193274454e-02,74.88587863743305
460,3376,5.27312793193274454e-02,78.2838140167296
480,3576,5.26932443029446348e-02,81.52012664824724
500,3752,5.26642547394915381e-02,84.96689582616091
520,3931,5.26588550568189290e-02,88.31023317202926
540,4124,5.26574099834320672e-02,91.78669637814164
560,4310,5.26572666723706881e-02,95.23554138466716
580,4496,5.26571686032639222e-02,98.59829527884722
600,4692,5.26570278081847920e-02,101.99770379438996
620,4892,5.26569372457467363e-02,105.49140297621489
640,5092,5.26568545237795851e-02,109.72523090615869
660,5292,5.26567751120623762e-02,113.21064904332161
680,5492,5.26566915632876303e-02,116.55006136372685
700,5692,5.26566086257730312e-02,119.81188149005175
720,5892,5.26565238904828925e-02,123.0740812830627
740,6092,5.26564596088695269e-02,126.22585850954056
760,6292,5.26563888604727956e-02,129.2747106999159
780,6484,5.26563185074190310e-02,132.50087850913405
800,6667,5.26562632817172555e-02,135.9602967314422
820,6863,5.26561936945137282e-02,139.14684422314167
840,7043,5.26561300772717192e-02,142.2708685658872
860,7210,5.26561038395924400e-02,145.4411091543734
880,7357,5.26560997942274595e-02,148.48395189270377
900,7516,5.26560719621834913e-02,151.56147760525346
920,7700,5.26559030498193192e-02,154.77003552019596
940,7885,4.30358302435174186e-02,158.01221971213818
960,8046,4.06559193563388599e-02,161.25099853798747
980,8235,3.75588453783818332e-02,164.55241782218218
1000,8412,3.55827435046717905e-02,167.78574881330132
1020,8591,3.53822539265915489e-02,171.02589343488216
1040,8780,3.45871535111491601e-02,174.34149618074298
1060,8957,3.32095474846714200e-02,177.51750853657722
1080,9151,3.15468496428433776e-02,180.71077620610595
1100,9349,2.81018442173678086e-02,183.77726149186492
1120,9526,2.36947142323121404e-02,186.94213600829244
1140,9726,1.86403024236676748e-02,190.03318096324801
1160,9922,1.52528021690448001e-02,193.3318974711001
1180,10118,1.38025528665016457e-02,196.87590661272407
1200,10318,1.35844375544945748e-02,199.9931938163936
1220,10518,1.35707663657105137e-02,203.25274885445833
1240,10718,1.35448311229044265e-02,206.7019219622016
1260,10918,1.34806526508329978e-02,209.83806815370917
1280,11118,1.34053317876168237e-02,212.9413629323244
1300,11318,1.33938590668444997e-02,216.13785384222865
1320,11518,1.33923305418266921e-02,219.23058071359992
1340,11718,1.33923031256743680e-02,222.37651039287448
1360,11918,1.33923017680664894e-02,225.55910692363977
1380,12118,1.33923014962358863e-02,228.56271485611796
1400,12318,1.33923014962358863e-02,231.7172464467585
1420,12518,1.33923014962358863e-02,234.83431250974536
1440,12718,1.33923014307305473e-02,238.00981748104095
1460,12918,1.33923013327447681e-02,241.20408910885453
1480,13118,1.33923013327447681e-02,244.43509209156036
1500,13318,1.33923013326620460e-02,247.85174917802215
1520,13518,1.33923013326620460e-02,251.34163263440132
1540,13718,1.33923013326620460e-02,254.68322628736496
1560,13918,1.33923013326620460e-02,258.00076304003596
1580,14118,1.33923013326620460e-02,261.23943139612675
1600,14318,1.33923013326620460e-02,264.39470164477825
1620,14518,1.33923013326620460e-02,267.5926632732153
1640,14718,1.33923013326620460e-02,270.7781126573682
1648,14788,1.33923013326620460e-02,271.9186912588775
