"Iter.","Eval.","Best","Time m:s"
0,10,1.69495214519714672e+01,7.452871911227703
1,20,1.69495214519714672e+01,12.831565888598561
2,30,1.64339966721361606e+01,18.645693382248282
3,40,1.61221309851322410e+01,24.18299908004701
20,175,1.06498414468789324e+01,107.70719911903143
40,344,9.56478559399410067e+00,213.92423066683114
60,491,7.75067119555595774e+00,303.09410182386637
80,648,5.68414762277449093e+00,397.8105563092977
100,793,4.33051204258667521e+00,498.4019380547106
120,948,3.06144622699637203e+00,567.7286485154182
140,1120,1.74842753917411664e+00,673.6418428029865
160,1288,1.65954639049913233e+00,802.5677506774664
180,1461,1.57931132867279134e+00,929.4725959450006
200,1648,1.45398150547339533e+00,1051.6424677800387
220,1836,1.37556490897065364e+00,1176.8226400874555
240,2011,1.37556490897065364e+00,1285.8742240592837
260,2191,1.37556490897065364e+00,1398.0046551357955
280,2368,1.37556490897065364e+00,1506.1723350323737
300,2562,1.37556490897065364e+00,1619.8887440860271
320,2741,1.35818934859154683e+00,1730.4369093533605
340,2921,1.34965942572281117e+00,1847.5286775324494
360,3116,1.32609588712767401e+00,1969.8180491104722
380,3298,1.32580085402840497e+00,2088.9458575882018
400,3489,1.32522105728247830e+00,2217.4879110865295
420,3688,1.32391402090009080e+00,2335.3840504232794
440,3881,1.32321841288735587e+00,2457.750049676746
460,4080,1.32302601669760911e+00,2586.224367560819
480,4264,1.32295476506464271e+00,2708.5360845644027
500,4457,1.32295476506464271e+00,2843.3779368288815
520,4657,1.32288145297152271e+00,2976.358901737258
540,4857,1.32288145297152271e+00,3117.1209141388535
560,5057,1.32288145297152271e+00,3262.6830143667758
580,5257,1.32288145297152271e+00,3404.305065367371
600,5457,1.32288145297152271e+00,3555.143675610423
620,5650,1.32288145297152271e+00,3699.657420001924
640,5850,1.32288145297152271e+00,3849.5350348148495
660,6050,1.32288145297152271e+00,4000.552809987217
680,6250,1.32288145297152271e+00,4156.01963532716
700,6450,1.32288145297152271e+00,4308.890130734071
703,6470,1.32288145297152271e+00,4323.752824218944
