"Iter.","Eval.","Best","Time m:s"
0,10,2.23379168527093611e+02,6.410014593973756
1,20,3.25335052864639662e+00,12.633983217179775
2,30,3.24987636491594589e+00,18.91600975766778
3,40,3.24564696142377285e+00,25.059692246839404
20,198,3.08474217030891440e+00,125.3980944249779
40,370,2.81952882477118472e+00,240.04966947063804
60,510,2.65645712077160701e+00,345.0023084077984
80,646,2.39697162764249505e+00,450.6438769828528
100,778,2.22338211504302841e+00,545.1150463428348
120,929,1.96868278434687349e+00,635.610708752647
140,1073,1.68881594058160056e+00,733.8220952171832
160,1223,1.65591845034692842e+00,839.5190939605236
180,1385,1.65405299539131101e+00,945.5042722076178
200,1545,1.65253290025594479e+00,1047.664861280471
220,1705,1.65195632406851312e+00,1146.44804401882
240,1868,1.65135510966151000e+00,1256.319728758186
260,2035,1.64929061739321403e+00,1366.0370888747275
280,2182,1.64102909475922809e+00,1467.6050281859934
300,2337,1.61873765752337917e+00,1568.1582965739071
320,2483,1.57501695812307707e+00,1671.638173520565
340,2618,1.48347056059761551e+00,1776.3587685227394
360,2806,1.46862279050556688e+00,1895.0341320298612
380,3004,1.46650662036309987e+00,2009.667078524828
400,3202,1.46429517167281897e+00,2124.5634624455124
420,3388,1.46084452220239802e+00,2245.3583711776882
440,3550,1.46034981024106969e+00,2351.6545224357396
460,3713,1.46021338416807556e+00,2451.639254624024
480,3902,1.46021338416807556e+00,2559.6950597800314
500,4080,1.46008621786076187e+00,2669.6050925068557
520,4276,1.46008621786076187e+00,2789.92712373659
540,4461,1.46008621786076187e+00,2907.8127364628017
560,4641,1.46003663262732575e+00,3025.4366021025926
580,4833,1.46003663262732575e+00,3150.758368369192
600,5033,1.46003663262732575e+00,3268.7833213955164
620,5233,1.45994907148123909e+00,3380.8239354696125
640,5429,1.45994907148123909e+00,3492.5323303230107
660,5617,1.45994907148123909e+00,3600.0308882799
680,5813,1.45994907148123909e+00,3711.6724086031318
700,6013,1.45993525182973061e+00,3825.95899778232
720,6213,1.45993525182973061e+00,3938.812963422388
740,6413,1.45993525182973061e+00,4054.3283424098045
760,6613,1.45993525182973061e+00,4168.802886644378
780,6813,1.45993525182973061e+00,4281.812045224011
800,7013,1.45993525182973061e+00,4394.595868635923
820,7210,1.45993525182973061e+00,4508.342332992703
840,7410,1.45993525182973061e+00,4620.758356062695
860,7609,1.45993525182973061e+00,4734.268028030172
880,7809,1.45993525182973061e+00,4848.758099952713
893,7929,1.45993525182973061e+00,4916.79999804683
