"Iter.","Eval.","Best","Time m:s"
0,10,1.97185412664768904e+02,6.06956029869616
1,20,1.71504399737563148e+02,12.146125996485353
2,30,1.52276775085383376e+00,18.04647550545633
3,40,1.52276775085383376e+00,24.43091775290668
20,205,1.51108978593269638e+00,130.38180063292384
40,387,1.48361837193615731e+00,246.01111404038966
60,562,1.47770019534939001e+00,357.2191025316715
80,724,1.47229486534625353e+00,461.82177718542516
100,900,1.46062303358306522e+00,571.4831329341978
120,1068,1.44547706487115124e+00,681.1318891439587
140,1250,1.44379553411465777e+00,798.6660684905946
160,1440,1.44330661666360882e+00,919.7430067490786
180,1612,1.44304484229182850e+00,1033.3614928554744
200,1792,1.44174420345158860e+00,1152.0876067690551
220,1974,1.42392283731344982e+00,1271.7001344002783
240,2148,1.41275186831734034e+00,1386.5183465052396
260,2316,1.34314766790013418e+00,1500.3388740289956
280,2493,1.33272927911689254e+00,1612.3657503891736
300,2692,1.32208847192926293e+00,1724.7035645004362
320,2892,1.29820815171327375e+00,1836.4842529967427
340,3072,1.28470076299257352e+00,1940.5897983741015
360,3243,1.28170498755707740e+00,2035.3476936854422
380,3413,1.27832577977801742e+00,2129.5219805222005
400,3590,1.27795163848962856e+00,2221.4506600163877
420,3760,1.27720717454808907e+00,2319.915099868551
440,3960,1.27720717454808907e+00,2419.82155973278
460,4157,1.27720717454808907e+00,2519.3493628539145
480,4347,1.27720717454808907e+00,2618.9875604733825
500,4529,1.27720717454808907e+00,2720.887574315071
520,4719,1.27720717454808907e+00,2824.224151097238
540,4919,1.27700258051152638e+00,2925.6354090310633
560,5096,1.27700258051152638e+00,3020.8920183945447
580,5289,1.27687195898594896e+00,3118.4820968490094
600,5489,1.27687195898594896e+00,3213.096989294514
620,5689,1.27687195898594896e+00,3311.7081918492913
640,5889,1.27687195898594896e+00,3407.0668520331383
660,6089,1.27687195898594896e+00,3504.2213559057564
680,6279,1.27687195898594896e+00,3602.0134569741786
700,6474,1.27687195898594896e+00,3693.887610770762
720,6674,1.27687195898594896e+00,3796.2170280795544
740,6874,1.27687195898594896e+00,3899.4852671232074
760,7073,1.27687195898594896e+00,4003.078200003132
780,7263,1.27687195898594896e+00,4099.928266000003
