"Iter.","Eval.","Best","Time m:s"
0,8,1.72935556771902156e+02,2.9831822459818795
1,18,1.65593165802794204e+02,5.656818986986764
2,28,1.29160793556925569e+02,9.467191076022573
3,37,1.21240980097784259e+02,12.381825231947005
20,174,5.85788269903840657e+01,69.29989708703943
40,321,1.30826256007137012e+01,121.45135827793274
60,436,1.20087273479842178e+01,155.26304645300843
80,559,1.09926194068726257e+01,192.12523719493765
100,675,8.73822076144847770e+00,226.33263264293782
120,768,7.20944097031952680e+00,267.6590680129593
140,866,3.47654198468650844e+00,312.5118412169395
160,943,1.70179599942276649e+00,352.0602020890219
180,1054,1.54134381100342677e+00,397.6873469640268
200,1167,1.54099187802527693e+00,439.0703016000334
220,1315,1.53734935903378767e+00,482.99123557296116
240,1456,1.53709004874039645e+00,526.7374296570197
260,1598,1.53703014651267011e+00,571.7671832989436
280,1745,1.53697933575141432e+00,617.5600005129818
300,1893,1.53696653317958720e+00,662.4493147910107
320,2031,1.53696409469517792e+00,703.6101211439818
340,2180,1.53696086836426593e+00,749.6797049649758
360,2308,1.53695966190183020e+00,791.2767358280253
380,2446,1.53695937563962270e+00,834.7793399560032
400,2577,1.53695819594738103e+00,877.326465339982
420,2726,1.53695631175211989e+00,924.3318125900114
440,2891,1.53695573352506165e+00,974.1202193979407
460,3051,1.53695516988439840e+00,1020.7587216759566
480,3217,1.53695292371999415e+00,1069.587337370962
500,3401,1.53693943480455042e+00,1120.4224950339412
520,3552,1.53693442926795143e+00,1165.9259882749757
540,3665,1.53693293672547249e+00,1204.4827966250014
560,3816,1.53693067458331778e+00,1250.6018132249592
580,3980,1.53692054064222283e+00,1297.9007862920407
600,4113,1.53690290260957951e+00,1342.035590406973
620,4239,1.53690008966533798e+00,1382.7008350730175
640,4383,1.53689335941281646e+00,1423.4400543969823
660,4524,1.53687538739375040e+00,1463.598820699961
680,4665,1.53686095943122658e+00,1506.50245730998
700,4811,1.53684644042701879e+00,1547.1732828959357
720,4964,1.53683967563928014e+00,1590.0931318090297
740,5088,1.53682178233748346e+00,1630.547248656978
760,5218,1.53667915731667448e+00,1671.5050114409532
780,5380,1.49145792683978673e+00,1714.6375827289885
800,5562,1.27459139397691801e+00,1811.793388454942
820,5757,1.12651730128000827e+00,1909.8765668800334
840,5957,1.12648673987897729e+00,2003.9799027169356
860,6157,1.10769822001245433e+00,2102.394141683937
880,6357,1.10266746084902967e+00,2202.981853408972
900,6556,1.09481838515509167e+00,2290.723713521962
920,6754,1.09270407846993467e+00,2379.254580334993
940,6945,1.07061062084111791e+00,2463.1867242739536
960,7119,1.07061062084111791e+00,2549.9590158719802
980,7292,1.04080936162988147e+00,2641.1668749899836
1000,7480,1.03487994631398550e+00,2747.3261802609777
1020,7666,1.03487994631398550e+00,2851.1578345500166
1040,7842,1.03487994631398550e+00,2987.9942175110336
1060,8037,1.03487994631398550e+00,3155.8664421139983
1080,8236,1.03487994631398550e+00,3340.666290643974
1100,8436,1.03487994631398550e+00,3540.8228690610267
1120,8636,1.03487994631398550e+00,3747.6134036580333
1140,8836,1.03487994631398550e+00,3950.523809097009
1160,9033,1.03487994631398550e+00,4174.073734062025
1180,9230,1.03131179154359720e+00,4387.771949629998
1200,9412,1.02157241100020779e+00,4553.598407794023
1220,9592,1.02018881120545490e+00,4682.089434372028
1240,9770,1.01846044774701583e+00,4806.038250274956
1260,9933,1.01653501370115662e+00,4926.052302913973
1280,10080,1.01476711875108916e+00,5033.950806536013
1300,10232,1.01409044186679820e+00,5149.637883848976
1320,10389,1.01351542279500828e+00,5263.100726388977
1340,10552,1.01277422240791704e+00,5375.3377730509965
1360,10700,1.01182696368635550e+00,5478.918664935976
1380,10881,1.00979096633426391e+00,5588.266557542956
1400,11050,1.00665904529605288e+00,5694.355899121962
1420,11198,1.00533995028038459e+00,5794.647939536953
1440,11383,1.00456091192573704e+00,5897.284369132016
1460,11552,1.00378937348627062e+00,5994.756798507995
1480,11732,1.00259398910328223e+00,6094.015230807941
1500,11928,9.99814592353427511e-01,6200.3309129170375
1520,12127,9.85770422923252010e-01,6307.806846629013
1540,12324,9.84182549842519738e-01,6410.299137905007
1560,12524,9.84182549842519738e-01,6515.219788204995
1580,12724,9.83488455585215027e-01,6623.420102122938
1600,12906,9.83240332288831231e-01,6726.453624650021
1620,13078,9.83158898003180015e-01,6831.394671451999
1640,13278,9.83122368750422693e-01,6948.092394139036
1660,13474,9.83104568383884603e-01,7063.419720839011
1680,13672,9.69756735079830512e-01,7171.725543734967
1700,13853,9.69756735079830512e-01,7279.0460947159445
1720,14053,9.69756735079830512e-01,7393.521017945022
1740,14252,9.69756735079830512e-01,7505.144149956992
1760,14452,9.69756735079830512e-01,7622.291761316941
1780,14652,9.69756735079830512e-01,7738.9030467669945
1800,14852,9.69756735079830512e-01,7858.421914682025
1820,15052,9.69756735079830512e-01,7985.985250836937
1840,15245,9.69756735079830512e-01,8107.792765424936
1860,15445,9.69756735079830512e-01,8232.935842289939
1868,15515,9.69756735079830512e-01,8275.622392990044
