"Iter.","Eval.","Best","Time m:s"
0,10,2.49914580754608928e-01,1.2631668411195278
1,20,2.49908722873089267e-01,2.21679512783885
2,30,2.49903114666259751e-01,3.2417193837463856
3,40,2.49898321004220658e-01,4.258044149726629
20,199,2.43276284616997462e-01,21.345669489353895
40,365,2.32209337256878756e-01,40.58014661446214
60,552,2.32156949184392780e-01,58.84393917769194
80,745,2.32125935576474263e-01,77.28171959705651
100,939,2.32117074129592260e-01,95.59541668370366
120,1125,2.32116449296479177e-01,114.70961666107178
140,1301,2.32116379056023836e-01,133.00655574724078
160,1466,2.32116327763933261e-01,148.5546988286078
180,1615,2.32116314677605906e-01,163.47190654836595
200,1741,2.32116313115496353e-01,177.3925774488598
220,1878,2.32116311200276149e-01,192.2899502981454
240,2014,2.32116310333439546e-01,206.78901833854616
260,2142,2.32116309315942959e-01,220.54152074083686
280,2282,2.32116305172287707e-01,235.87381701730192
300,2407,2.32116300728471336e-01,249.68195051327348
320,2546,2.32116113109698208e-01,264.01957908831537
340,2674,2.30371503313726023e-01,276.2942014094442
360,2827,2.30368287508439407e-01,289.9056775197387
380,3023,2.30367095068464256e-01,305.3026413694024
400,3223,2.30361891820240278e-01,321.6187059637159
420,3423,2.30297446229123404e-01,339.0420195367187
440,3616,2.30134700701584677e-01,356.2462402936071
460,3792,2.29829600813728496e-01,372.4918489474803
480,3967,2.29396791569726505e-01,388.3783175442368
500,4145,2.28833385318945592e-01,406.7752081826329
520,4275,2.28410669799555544e-01,421.67237770184875
540,4424,2.27794118092443543e-01,437.0697306152433
560,4569,2.26968409033369289e-01,451.06481579877436
580,4711,2.25814963386653300e-01,465.7871089987457
600,4865,2.20057044883623376e-01,480.6240685787052
620,5065,2.19041396367060937e-01,499.9367423169315
640,5248,2.16774318555850887e-01,517.7249751780182
660,5426,2.13526393296213285e-01,535.6606041882187
680,5582,2.11487703947396050e-01,551.6515465136617
700,5745,2.06740482988387569e-01,567.3614340648055
720,5875,1.98426381974509791e-01,580.0890345145017
740,6052,1.86766122773219162e-01,597.0182844661176
760,6230,1.69146824787015926e-01,613.5333964973688
780,6403,1.61523367378602900e-01,629.1395933441818
800,6576,1.56845849002963167e-01,644.1609380077571
820,6749,1.54851397701347482e-01,659.6228363271803
840,6941,1.54016971052079121e-01,676.358708370477
860,7111,1.53912339560381112e-01,690.9809760283679
880,7281,1.53881855701852754e-01,705.5940936133265
900,7436,1.53879407547017927e-01,719.5981348603964
920,7586,1.53879094084837714e-01,733.3555711060762
940,7739,1.53878699474812364e-01,748.0396559406072
960,7886,1.53878266810453301e-01,761.0639069378376
980,8059,1.53876922140473160e-01,774.8642798680812
1000,8242,1.53876734185852376e-01,789.779557812959
1020,8399,1.53876716620835269e-01,803.0053038131446
1040,8554,1.53876709732331196e-01,816.7859255243093
1060,8697,1.53876707554213177e-01,829.8325252756476
1080,8846,1.53876705040095985e-01,842.8711752966046
1100,9025,1.53876701833570162e-01,857.42768561095
1120,9197,1.53876693012020005e-01,872.104218184948
1140,9389,1.53876622930569140e-01,890.3706555217505
1160,9589,1.53875896788827016e-01,911.4762316923589
1180,9787,1.33479296786383178e-01,932.0016921367496
1200,9979,1.31798824119127134e-01,955.475182088092
1220,10179,1.25630567384683728e-01,979.3763645906001
1240,10379,1.10233889808509691e-01,1002.6918310374022
1260,10579,9.59858475040892972e-02,1028.2506325710565
1280,10778,7.72211411702082018e-02,1052.9368016272783
1300,10977,6.74619302414967703e-02,1079.2903104834259
1320,11177,5.63574444646695941e-02,1107.9880459550768
1340,11377,5.55655591385589981e-02,1134.4066176824272
1360,11577,5.51017067033759828e-02,1157.3928989842534
1380,11777,5.08352410771183288e-02,1180.9820013474673
1400,11977,4.95957538613591917e-02,1204.8179214578122
1420,12177,4.79292628136257087e-02,1227.0281101576984
1440,12377,4.65121194212312628e-02,1250.4300384372473
1460,12577,4.64486106205526314e-02,1274.796847363934
1480,12777,4.64127134664664986e-02,1299.5515327956527
1500,12977,4.64070055325833328e-02,1325.086054975167
1520,13177,4.64064736401958722e-02,1348.3752319496125
1540,13377,4.64055563136628532e-02,1372.843957265839
1560,13577,4.63893851965880705e-02,1397.857141558081
1580,13777,4.63270737517090248e-02,1423.5561963021755
1600,13977,4.57057510488778768e-02,1449.2042756006122
1620,14177,4.28436502595613763e-02,1476.0613313764334
1640,14377,4.01354231838999126e-02,1501.1765355523676
1660,14577,3.95385885467629122e-02,1527.0992397554219
1680,14777,3.94501315055132418e-02,1552.662500558421
1700,14977,3.94444270189173302e-02,1577.5846396256238
1720,15177,3.94435824542144486e-02,1604.1663960069418
1740,15377,3.94435240287626249e-02,1632.2730170488358
1760,15577,3.94435210711214929e-02,1669.174772867933
1780,15777,3.94435209543630566e-02,1707.0074801370502
1800,15977,3.94435209512197099e-02,1742.609586192295
1820,16177,3.94435209511058080e-02,1778.506744209677
1840,16377,3.94435209510987858e-02,1809.347082324326
1860,16577,3.94435209510984736e-02,1844.674508901313
1880,16777,3.94435209510984736e-02,1882.5057456418872
1900,16977,3.94435209510984666e-02,1922.597433116287
1920,17177,3.94435209510984666e-02,1961.1766381561756
1940,17377,3.94435209510984666e-02,2000.0806082393974
1960,17577,3.94435209510984666e-02,2040.1856018919498
1969,17657,3.94435209510984666e-02,2056.2652936950326
