"Iter.","Eval.","Best","Time m:s"
0,8,8.52715772549578865e-01,0.9768681116402149
1,17,8.52715772549578865e-01,1.7849461250007153
2,26,7.72707332747517017e-01,2.9498161226511
3,31,7.40950715932044091e-01,3.6292533073574305
20,146,6.02181416898512678e-01,15.058868171647191
40,288,5.74654436926930634e-01,28.372948575764894
60,403,5.66790932196515551e-01,39.803567407652736
80,530,5.54825643594515139e-01,53.086372749879956
100,649,5.36427692349906060e-01,65.3316527493298
120,757,5.10131650660560099e-01,76.59616808779538
140,881,4.06722025221592842e-01,88.36396771296859
160,1021,2.01538592222783197e-01,101.67713631875813
180,1148,2.01538592222783197e-01,114.47923162952065
200,1341,2.00647708223985116e-01,132.10796184279025
220,1500,2.00021263453596998e-01,146.2740244437009
240,1636,1.99841648997479387e-01,159.1301153358072
260,1788,1.99770820584637909e-01,172.8598126936704
280,1934,1.99617259576662487e-01,186.43983291089535
300,2079,1.99524662349664206e-01,200.04392306134105
320,2232,1.99398104634340406e-01,213.9093380216509
340,2389,1.99294903928645961e-01,227.21370425075293
360,2540,1.99016823280015465e-01,240.89363454468548
380,2717,1.98697590874037627e-01,257.8789269775152
400,2885,1.98308588153991688e-01,275.3062129318714
420,3020,1.98300252192131515e-01,291.9498246572912
440,3181,1.98275966385706937e-01,310.133906474337
460,3338,1.98268543310578416e-01,329.4208572264761
480,3497,1.98258199934996576e-01,354.20079935900867
500,3652,1.98256013285696586e-01,380.13093351200223
520,3801,1.98255718990481195e-01,404.0334867499769
540,3948,1.98255680954713215e-01,427.75676526129246
560,4093,1.98255661099671965e-01,452.264276875183
580,4238,1.98255659682067598e-01,472.4479548409581
600,4385,1.98255659244808258e-01,490.11089913360775
620,4524,1.98255659122316186e-01,509.0710497684777
640,4665,1.98255659003383100e-01,528.475237313658
660,4798,1.98255658996471185e-01,547.0296817347407
680,4950,1.98255658993429840e-01,568.9244520105422
700,5097,1.98255658992461614e-01,590.2509345412254
720,5249,1.98255658991985995e-01,610.1604337710887
740,5389,1.98255658991839112e-01,631.430929435417
760,5539,1.98255658991813410e-01,650.2686519213021
780,5688,1.98255658991798644e-01,670.4482262469828
800,5833,1.98255658991793371e-01,694.1558886561543
820,5962,1.98255658991792538e-01,718.0271034389734
839,6103,1.98255658991792233e-01,740.6640787180513
