"f","p1","p2","p3","p4","p5","p6","p7","p8","p9"
 1.66190092803117636e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 0.00000000000000000e+00, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.68166058035572121e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 2.66666666666666684e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.69405515882133301e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 5.33333333333333368e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.70171141549325483e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 8.00000000000000017e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.70651817674771650e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 1.06666666666666674e-01, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.70963247289608290e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 1.33333333333333331e-01, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.71170202872260234e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 1.60000000000000003e-01, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.04216888897422497e+05, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 1.86666666666666675e-01, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.24223655648372551e+04, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 2.13333333333333347e-01, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.07040037354970889e+05, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 9.99999999999999425e-08, 2.40000000000000019e-01, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
