"f","p1","p2","p3","p4","p5","p6","p7","p8","p9"
 1.57194014943851790e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 0.00000000000000000e+00, 1.13934995458069552e-01
 1.57179150809145640e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 1.33333333333333342e-02, 1.13934995458069552e-01
 1.57161416255744069e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 2.66666666666666684e-02, 1.13934995458069552e-01
 1.57124860693365953e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 4.00000000000000008e-02, 1.13934995458069552e-01
 1.56985481445318609e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 5.33333333333333368e-02, 1.13934995458069552e-01
 1.56372665141893208e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 6.66666666666666657e-02, 1.13934995458069552e-01
 1.53710940991917533e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 8.00000000000000017e-02, 1.13934995458069552e-01
 1.43874152801279975e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 9.33333333333333376e-02, 1.13934995458069552e-01
 1.22081537646267790e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 1.06666666666666674e-01, 1.13934995458069552e-01
 9.97228107308056888e-01, 2.99734648467935016e-04, 1.03038141382917198e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 9.99999999999999425e-08, 1.20000000000000009e-01, 1.13934995458069552e-01
