"f","p1","p2","p3","p4","p5","p6","p7","p8","p9"
 inf, 9.99999999999999425e-08, 0.00000000000000000e+00, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.52856232865623952e+02, 9.99999999999999425e-08, 2.66666666666666684e-02, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 3.34152275811195636e+02, 9.99999999999999425e-08, 5.33333333333333368e-02, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 2.59393921509223730e+02, 9.99999999999999425e-08, 8.00000000000000017e-02, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.14126181028380211e+03, 9.99999999999999425e-08, 1.06666666666666674e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 6.77669942421732419e+00, 9.99999999999999425e-08, 1.33333333333333331e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 2.01720971565793228e+00, 9.99999999999999425e-08, 1.60000000000000003e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.01019206534783534e+00, 9.99999999999999425e-08, 1.86666666666666675e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 6.89707500886166058e-01, 9.99999999999999425e-08, 2.13333333333333347e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.99481240626389078e-01, 9.99999999999999425e-08, 2.40000000000000019e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.84637829081774196e-01, 9.99999999999999425e-08, 2.66666666666666663e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.71952900725726354e-01, 9.99999999999999425e-08, 2.93333333333333335e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.48023762545269855e-01, 9.99999999999999425e-08, 3.20000000000000007e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.14597109515576134e-01, 9.99999999999999425e-08, 3.46666666666666679e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.76906595454797022e-01, 9.99999999999999425e-08, 3.73333333333333350e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.48483638544523389e-01, 9.99999999999999425e-08, 4.00000000000000022e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 inf, 4.64158883361277677e-07, 0.00000000000000000e+00, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 3.51278494799346390e+02, 4.64158883361277677e-07, 2.66666666666666684e-02, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.28050596485813571e+02, 4.64158883361277677e-07, 5.33333333333333368e-02, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.98016880538312989e+02, 4.64158883361277677e-07, 8.00000000000000017e-02, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 3.36411657544475728e+00, 4.64158883361277677e-07, 1.06666666666666674e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.49704144180613219e+00, 4.64158883361277677e-07, 1.33333333333333331e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 8.16882498504814647e-01, 4.64158883361277677e-07, 1.60000000000000003e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 6.20402335552296513e-01, 4.64158883361277677e-07, 1.86666666666666675e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.67105732981880051e-01, 4.64158883361277677e-07, 2.13333333333333347e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.46913164362011650e-01, 4.64158883361277677e-07, 2.40000000000000019e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 5.16794105692484185e-01, 4.64158883361277677e-07, 2.66666666666666663e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.80424790059508999e-01, 4.64158883361277677e-07, 2.93333333333333335e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.50804155129671813e-01, 4.64158883361277677e-07, 3.20000000000000007e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.37283089397263458e-01, 4.64158883361277677e-07, 3.46666666666666679e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.35113227286276327e-01, 4.64158883361277677e-07, 3.73333333333333350e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.97382377235947786e+02, 4.64158883361277677e-07, 4.00000000000000022e-01, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 inf, 2.15443469003188308e-06, 0.00000000000000000e+00, 3.50811120223618644e-05, 4.62583535315831199e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
