"f","p1","p2","p3","p4","p5","p6","p7","p8","p9"
 inf, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 0.00000000000000000e+00, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 inf, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 1.33333333333333342e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.63163862535292310e+02, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 2.66666666666666684e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 inf, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 4.00000000000000008e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 inf, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 5.33333333333333368e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 2.59521268542844332e+01, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 6.66666666666666657e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.64773066968791362e+01, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 8.00000000000000017e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 1.08698475937595482e+01, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 9.33333333333333376e-02, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 7.26883442753304454e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 1.06666666666666674e-01, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
 4.84263565182550337e+00, 2.99734648467935016e-04, 1.03038141382917198e-01, 9.99999999999999425e-08, 1.20000000000000009e-01, 7.95832828641849788e-02, 1.40117569756865474e-02, 2.49810498434180264e-03, 5.24239451609092716e-02, 1.13934995458069552e-01
